CONTIG	POS	CHR	MALE_POS	FEMALE_POS
LG1	3109114	1	8.029	27.119
LG1	3159853	1	8.029	27.226
LG1	3159854	1	8.029	27.226
LG1	3192448	1	8.029	27.332
LG1	3193526	1	8.136	27.332
LG1	3193528	1	8.136	27.332
LG1	3258713	1	8.136	27.332
LG1	3264166	1	8.136	27.868
LG1	3265438	1	8.136	27.975
LG1	3271948	1	8.136	28.189
LG1	3312764	1	8.136	28.295
LG1	3314115	1	8.136	28.402
LG1	3315068	1	8.136	28.509
LG1	3316666	1	8.136	28.615
LG1	3317969	1	8.136	28.829
LG1	3331753	1	8.136	29.043
LG1	3343642	1	8.243	29.364
LG1	3363366	1	8.349	29.577
LG1	3423698	1	8.349	30.873
LG1	3456848	1	8.349	31.842
LG1	3497423	1	8.349	32.378
LG1	3504137	1	8.349	33.022
LG1	3542950	1	8.456	33.450
LG1	3551958	1	8.670	33.557
LG1	3551973	1	8.670	33.664
LG1	3552464	1	8.670	33.877
LG1	3552754	1	8.670	33.877
LG1	3552759	1	8.670	33.984
LG1	3583273	1	8.670	33.984
LG1	3609858	1	8.670	34.091
LG1	3609904	1	8.670	34.091
LG1	3654337	1	8.776	34.197
LG1	3693207	1	8.776	34.411
LG1	3714491	1	8.776	34.411
LG1	3714497	1	8.776	34.411
LG1	3714502	1	8.776	34.518
LG1	3721574	1	8.776	34.518
LG1	3725937	1	8.776	34.518
LG1	3728406	1	8.776	34.625
LG1	3728407	1	8.776	34.625
LG1	3728451	1	8.776	34.625
LG1	3728452	1	8.776	34.625
LG1	3728463	1	8.883	34.625
LG1	3728492	1	8.883	34.625
LG1	3746476	1	8.883	34.945
LG1	3746496	1	8.883	34.945
LG1	3747117	1	8.883	34.945
LG1	3747236	1	8.883	34.945
LG1	3749313	1	8.883	34.945
LG1	3760225	1	8.883	34.945
LG1	3763911	1	8.883	34.945
LG1	3763919	1	8.883	34.945
LG1	3763957	1	8.883	34.945
LG1	3764031	1	8.883	34.945
LG1	3766391	1	8.883	34.945
LG1	3766393	1	8.883	34.945
LG1	3803438	1	8.883	35.052
LG1	3803443	1	8.883	35.052
LG1	3815101	1	8.883	35.052
LG1	3815103	1	8.883	35.159
LG1	3827805	1	8.883	35.372
LG1	3836348	1	8.883	35.372
LG1	3836383	1	8.883	35.372
LG1	3842955	1	8.883	35.372
LG1	3851593	1	9.097	35.586
LG1	3851594	1	9.097	35.586
LG1	3872493	1	9.097	35.586
LG1	3879435	1	9.097	35.907
LG1	3879814	1	9.097	35.907
LG1	3879816	1	9.097	35.907
LG1	3879830	1	9.097	35.907
LG1	3879881	1	9.097	35.907
LG1	3879890	1	9.097	35.907
LG1	3879909	1	9.097	35.907
LG1	3879941	1	9.097	35.907
LG1	3881793	1	9.097	36.228
LG1	3881811	1	9.097	36.335
LG1	3881840	1	9.097	36.655
LG1	3896359	1	9.097	36.762
LG1	3927992	1	9.097	36.762
LG1	3933548	1	9.097	36.869
LG1	3933558	1	9.097	36.869
LG1	3979427	1	9.097	36.869
LG1	3979428	1	9.097	36.869
LG1	3979458	1	9.097	36.869
LG1	3982225	1	9.097	37.083
LG1	3986950	1	9.097	37.083
LG1	3990200	1	9.097	37.189
LG1	4051948	1	9.097	37.189
LG1	4051952	1	9.097	37.189
LG1	4071024	1	9.097	37.296
LG1	4073821	1	9.204	37.296
LG1	4075280	1	9.204	37.296
LG1	4085639	1	9.310	37.403
LG1	4085655	1	9.310	37.403
LG1	4090017	1	9.310	37.403
LG1	4090038	1	9.310	37.403
LG1	4144399	1	9.310	37.616
LG1	4161483	1	9.417	37.616
LG1	4161517	1	9.417	37.616
LG1	4202617	1	9.417	37.616
LG1	4228684	1	9.417	37.616
LG1	4242909	1	9.524	37.723
LG1	4242926	1	9.524	37.723
LG1	4272177	1	9.524	37.830
LG1	4281635	1	9.524	37.830
LG1	4324842	1	9.630	37.830
LG1	4376944	1	9.630	37.830
LG1	4391513	1	9.630	37.830
LG1	4447289	1	9.844	37.830
LG1	4473541	1	9.844	37.830
LG1	4479881	1	9.844	37.937
LG1	4479893	1	9.844	37.937
LG1	4557011	1	9.844	38.043
LG1	4557505	1	9.844	38.043
LG1	4567289	1	9.844	38.043
LG1	4569710	1	9.844	38.043
LG1	4580500	1	9.844	38.043
LG1	4604419	1	9.844	38.150
LG1	4604468	1	9.844	38.150
LG1	4657939	1	9.951	38.150
LG1	4657962	1	9.951	38.150
LG1	4657966	1	9.951	38.150
LG1	4671454	1	9.951	38.150
LG1	4691957	1	9.951	38.257
LG1	4761956	1	9.951	38.470
LG1	4767307	1	9.951	38.684
LG1	4779486	1	9.951	38.684
LG1	4813519	1	9.951	38.684
LG1	4815629	1	9.951	38.684
LG1	4815631	1	9.951	38.684
LG1	4850427	1	9.951	38.684
LG1	4871991	1	9.951	38.684
LG1	4875569	1	9.951	38.684
LG1	4891154	1	9.951	38.684
LG1	4921850	1	9.951	38.898
LG1	4932948	1	9.951	38.898
LG1	4944451	1	9.951	38.898
LG1	4944471	1	9.951	39.111
LG1	4944476	1	9.951	39.111
LG1	4996403	1	9.951	39.325
LG1	5002252	1	9.951	39.432
LG1	5002264	1	9.951	39.432
LG1	5002334	1	9.951	39.432
LG1	5011175	1	9.951	39.432
LG1	5011188	1	9.951	39.432
LG1	5018402	1	9.951	39.432
LG1	5018404	1	9.951	39.432
LG1	5072940	1	9.951	39.539
LG1	5123332	1	9.951	39.752
LG1	5143031	1	9.951	39.859
LG1	5143799	1	9.951	39.966
LG1	5159409	1	9.951	40.072
LG1	5159419	1	9.951	40.072
LG1	5161260	1	9.951	40.072
LG1	5183904	1	9.951	40.072
LG1	5199908	1	9.951	40.286
LG1	5207462	1	9.951	40.286
LG1	5207507	1	9.951	40.286
LG1	5222655	1	9.951	40.393
LG1	5247872	1	9.951	40.500
LG1	5322304	1	10.165	41.251
LG1	5343840	1	10.165	41.251
LG1	5373495	1	10.165	41.358
LG1	5382368	1	10.165	41.358
LG1	5382375	1	10.165	41.572
LG1	5385230	1	10.271	41.679
LG1	5390194	1	10.271	41.785
LG1	5390227	1	10.271	41.785
LG1	5390229	1	10.271	41.785
LG1	5390230	1	10.271	41.785
LG1	5390231	1	10.271	41.785
LG1	5395668	1	10.271	41.785
LG1	5395775	1	10.271	41.785
LG1	5404356	1	10.378	41.999
LG1	5404409	1	10.378	41.999
LG1	5414211	1	10.378	41.999
LG1	5414230	1	10.378	41.999
LG1	5421612	1	10.378	41.999
LG1	5427211	1	10.378	41.999
LG1	5430714	1	10.485	41.999
LG1	5433138	1	10.485	41.999
LG1	5433192	1	10.485	42.213
LG1	5448780	1	10.485	42.213
LG1	5448797	1	10.485	42.213
LG1	5466946	1	10.485	42.213
LG1	5466954	1	10.485	42.213
LG1	5480926	1	10.485	42.213
LG1	5480941	1	10.485	42.213
LG1	5570592	1	10.485	42.426
LG1	5570604	1	10.485	42.426
LG1	5570612	1	10.591	42.533
LG1	5678402	1	10.591	42.640
LG1	5708428	1	10.591	42.640
LG1	5714690	1	10.698	43.068
LG1	5714737	1	10.698	43.175
LG1	5727440	1	10.698	43.175
LG1	5750152	1	10.698	43.282
LG1	5750153	1	10.698	43.282
LG1	5773529	1	10.698	43.282
LG1	5807242	1	10.698	43.388
LG1	5820990	1	10.698	43.388
LG1	5830671	1	10.698	43.388
LG1	5834360	1	10.698	43.495
LG1	5880809	1	10.698	43.816
LG1	5890919	1	10.698	43.923
LG1	5897214	1	10.698	44.029
LG1	5911180	1	10.698	44.136
LG1	5919990	1	10.698	44.136
LG1	5925838	1	10.698	44.136
LG1	5931942	1	10.698	44.136
LG1	5931948	1	10.698	44.136
LG1	5942314	1	10.698	44.136
LG1	5950453	1	10.698	44.136
LG1	5950534	1	10.698	44.243
LG1	5970568	1	10.698	44.243
LG1	5986730	1	10.698	44.349
LG1	6001846	1	10.698	44.349
LG1	6024916	1	10.698	44.778
LG1	6058231	1	10.698	44.778
LG1	6058232	1	10.698	44.884
LG1	6058277	1	10.698	44.884
LG1	6058296	1	10.698	44.884
LG1	6079440	1	10.698	45.205
LG1	6089146	1	10.698	45.205
LG1	6089281	1	10.698	45.205
LG1	6094093	1	10.698	45.205
LG1	6099881	1	10.805	45.205
LG1	6100450	1	10.805	45.419
LG1	6100464	1	10.805	45.526
LG1	6141297	1	10.805	45.526
LG1	6141309	1	10.805	46.062
LG1	6150642	1	10.805	46.275
LG1	6175021	1	10.805	46.489
LG1	6186182	1	10.805	47.894
LG1	6343907	1	10.805	48.001
LG1	6353893	1	10.805	48.108
LG1	6475048	1	10.805	48.215
LG1	6506512	1	10.805	48.321
LG1	6582052	1	10.805	48.321
LG1	6582710	1	10.805	48.321
LG1	6582719	1	10.805	48.321
LG1	6597998	1	10.805	48.535
LG1	6620433	1	10.805	48.535
LG1	6620446	1	10.805	48.535
LG1	6644288	1	11.019	48.535
LG1	6644957	1	11.019	48.535
LG1	6665959	1	11.019	48.535
LG1	6682738	1	11.019	48.535
LG1	6713222	1	11.019	48.535
LG1	6722863	1	11.019	48.535
LG1	6749862	1	11.019	48.642
LG1	6770199	1	11.019	48.642
LG1	6770203	1	11.019	48.642
LG1	6834665	1	11.019	48.642
LG1	6860766	1	11.019	48.642
LG1	6860818	1	11.019	48.748
LG1	6900733	1	11.019	48.748
LG1	6900745	1	11.019	49.069
LG1	6959242	1	11.019	49.069
LG1	6965856	1	11.019	49.176
LG1	6965929	1	11.019	49.176
LG1	6965947	1	11.019	49.283
LG1	6965948	1	11.019	49.283
LG1	6982754	1	11.019	49.389
LG1	6982772	1	11.019	49.389
LG1	7015638	1	11.019	49.389
LG1	7040225	1	11.019	49.496
LG1	7041776	1	11.125	49.603
LG1	7087283	1	11.125	49.710
LG1	7090969	1	11.125	49.816
LG1	7090975	1	11.125	49.816
LG1	7090976	1	11.125	49.816
LG1	7090999	1	11.125	49.923
LG1	7123941	1	11.125	50.783
LG1	7146832	1	11.232	50.890
LG1	7176782	1	11.232	50.997
LG1	7192213	1	11.232	51.641
LG1	7192216	1	11.232	51.961
LG1	7257821	1	11.232	52.175
LG1	7260909	1	11.232	52.175
LG1	7283207	1	11.232	52.389
LG1	7385479	1	11.232	52.389
LG1	7442179	1	11.232	52.602
LG1	7442480	1	11.232	52.709
LG1	7505758	1	11.232	52.923
LG1	7505761	1	11.232	52.923
LG1	7508429	1	11.232	53.137
LG1	7530715	1	11.232	53.888
LG1	7600264	1	11.232	53.995
LG1	7682672	1	11.232	53.995
LG1	7702492	1	11.232	54.209
LG1	7710058	1	11.232	54.316
LG1	7710071	1	11.232	54.316
LG1	7710088	1	11.232	54.316
LG1	7753928	1	11.232	54.316
LG1	7754002	1	11.232	54.316
LG1	7766135	1	11.232	54.422
LG1	7812165	1	11.232	54.636
LG1	7812167	1	11.232	54.636
LG1	7885463	1	11.232	54.636
LG1	7885465	1	11.232	55.172
LG1	8652441	1	11.232	55.279
LG1	8703464	1	11.232	55.279
LG1	8703531	1	11.232	55.279
LG1	8724227	1	11.232	55.279
LG1	8736614	1	11.232	55.279
LG1	8736623	1	11.232	55.707
LG1	8782729	1	11.232	55.707
LG1	8808068	1	11.232	55.707
LG1	8836307	1	11.232	55.707
LG1	8836308	1	11.232	55.707
LG1	8884435	1	11.232	55.921
LG1	8985002	1	11.232	55.921
LG1	9038925	1	11.232	56.349
LG1	9038930	1	11.232	56.349
LG1	9090677	1	11.232	56.562
LG1	9096922	1	11.232	56.562
LG1	9160585	1	11.232	56.883
LG1	9353172	1	11.232	56.883
LG1	9576826	1	11.232	56.883
LG1	9689352	1	11.232	56.883
LG1	9822663	1	11.232	56.883
LG1	10078132	1	11.232	56.883
LG1	10330259	1	11.232	56.990
LG1	10434784	1	11.232	56.990
LG1	10977184	1	11.232	56.990
LG1	10977212	1	11.232	56.990
LG1	10991102	1	11.232	56.990
LG1	10991107	1	11.232	56.990
LG1	10991115	1	11.232	56.990
LG1	11099910	1	11.232	56.990
LG1	11103042	1	11.339	57.097
LG1	11177339	1	11.339	57.097
LG1	11203599	1	11.339	57.097
LG1	11203637	1	11.339	57.097
LG1	11203638	1	11.339	57.097
LG1	11204740	1	11.339	57.097
LG1	11244147	1	11.339	57.097
LG1	11244150	1	11.339	57.097
LG1	11259622	1	11.339	57.097
LG1	11259650	1	11.339	57.097
LG1	11259723	1	11.339	57.097
LG1	11263450	1	11.339	57.097
LG1	11297298	1	11.445	57.203
LG1	11418731	1	11.445	57.310
LG1	11422890	1	11.445	57.310
LG1	11472021	1	11.552	57.417
LG1	11480902	1	11.552	57.524
LG1	11490906	1	11.659	57.630
LG1	11511099	1	11.766	57.630
LG1	11567104	1	11.872	57.737
LG1	11567105	1	11.872	57.737
LG1	11567106	1	11.872	57.737
LG1	11607695	1	11.979	57.737
LG1	11607697	1	11.979	57.737
LG1	11607698	1	11.979	57.737
LG1	11641749	1	12.300	57.737
LG1	11641796	1	12.300	57.844
LG1	11648812	1	12.300	57.844
LG1	11648818	1	12.300	57.844
LG1	11648933	1	12.621	57.951
LG1	11649472	1	12.834	58.057
LG1	11649530	1	12.834	58.164
LG1	11764998	1	12.941	58.164
LG1	11781121	1	12.941	58.164
LG1	11904287	1	12.941	58.164
LG1	11933447	1	12.941	58.271
LG1	11948418	1	12.941	58.271
LG1	11997700	1	12.941	58.271
LG1	12062129	1	12.941	58.271
LG1	12265139	1	12.941	58.271
LG1	12265417	1	12.941	58.271
LG1	12372934	1	12.941	58.484
LG1	12394415	1	12.941	58.484
LG1	12394426	1	12.941	58.484
LG1	12422934	1	12.941	58.484
LG1	12433156	1	12.941	58.591
LG1	12441216	1	12.941	58.591
LG1	12444162	1	12.941	58.591
LG1	12482639	1	12.941	58.805
LG1	12528743	1	12.941	58.805
LG1	12537619	1	12.941	58.805
LG1	12677067	1	12.941	58.805
LG1	12677896	1	12.941	58.805
LG1	12677913	1	12.941	58.805
LG1	12699411	1	12.941	58.805
LG1	12754761	1	13.048	58.805
LG1	12770540	1	13.048	58.805
LG1	12791976	1	13.048	58.912
LG1	12811562	1	13.048	58.912
LG1	12885840	1	13.048	59.018
LG1	12986614	1	13.048	59.125
LG1	12986615	1	13.048	59.125
LG1	12986625	1	13.048	59.125
LG1	13027731	1	13.048	59.125
LG1	13061129	1	13.048	59.339
LG1	13083353	1	13.048	59.339
LG1	13083380	1	13.048	59.339
LG1	13167036	1	13.048	59.660
LG1	13177860	1	13.048	59.660
LG1	13177872	1	13.048	59.660
LG1	13178018	1	13.048	59.660
LG1	13215441	1	13.048	59.660
LG1	13218843	1	13.048	59.660
LG1	13224201	1	13.048	59.660
LG1	13328540	1	13.048	59.766
LG1	13328553	1	13.048	59.873
LG1	13336152	1	13.155	59.980
LG1	13441416	1	13.155	60.193
LG1	13446191	1	13.155	60.729
LG1	13446234	1	13.155	61.158
LG1	13547615	1	13.155	61.158
LG1	13554564	1	13.155	61.264
LG1	13577757	1	13.155	61.264
LG1	13634135	1	13.155	61.585
LG1	13634172	1	13.155	61.585
LG1	13635842	1	13.155	61.692
LG1	13735356	1	13.155	61.799
LG1	13735380	1	13.155	61.799
LG1	13765902	1	13.155	61.799
LG1	13765989	1	13.155	61.799
LG1	13812820	1	13.155	61.905
LG1	13829345	1	13.155	62.119
LG1	13829349	1	13.155	62.119
LG1	13836783	1	13.261	62.119
LG1	13892246	1	13.261	62.119
LG1	13895577	1	13.261	62.119
LG1	13895607	1	13.261	62.333
LG1	13915546	1	13.475	62.333
LG1	13915669	1	13.475	62.439
LG1	13918140	1	13.475	62.439
LG1	13918150	1	13.475	62.546
LG1	13985544	1	13.475	62.546
LG1	14014433	1	13.582	62.653
LG1	14054994	1	13.582	62.653
LG1	14074067	1	13.582	62.760
LG1	14106161	1	13.582	62.760
LG1	14106177	1	13.582	62.760
LG1	14109754	1	13.582	62.760
LG1	14109770	1	13.582	62.760
LG1	14124243	1	13.582	62.760
LG1	14139326	1	13.582	62.760
LG1	14159246	1	13.582	62.760
LG1	14159256	1	13.582	62.760
LG1	14184887	1	13.582	62.760
LG1	14184908	1	13.582	62.760
LG1	14184916	1	13.582	62.760
LG1	14191867	1	13.688	62.760
LG1	14191886	1	13.688	62.973
LG1	14191887	1	13.688	62.973
LG1	14191914	1	13.688	63.080
LG1	14193110	1	13.688	63.401
LG1	14232032	1	13.688	63.614
LG1	14339213	1	13.688	63.614
LG1	14339214	1	13.688	63.614
LG1	14339393	1	13.688	63.614
LG1	14344522	1	13.688	63.614
LG1	14344547	1	13.688	63.614
LG1	14373357	1	13.688	63.614
LG1	14373358	1	13.688	63.614
LG1	14434546	1	13.688	63.721
LG1	14469675	1	13.688	63.828
LG1	14469678	1	13.688	63.935
LG1	14488025	1	13.688	63.935
LG1	14488060	1	13.688	63.935
LG1	14508702	1	13.688	64.148
LG1	14527606	1	13.688	64.362
LG1	14561681	1	13.688	64.469
LG1	14673505	1	13.688	64.575
LG1	14706485	1	13.688	64.575
LG1	14717925	1	13.688	64.682
LG1	14717962	1	13.688	64.682
LG1	14723774	1	13.688	65.218
LG1	14757385	1	13.688	65.539
LG1	14765380	1	13.688	65.646
LG1	14773715	1	13.688	65.646
LG1	14773722	1	13.688	65.646
LG1	14787428	1	13.688	65.752
LG1	14792626	1	13.688	65.752
LG1	14823859	1	13.688	65.966
LG1	14825600	1	13.688	65.966
LG1	14838699	1	13.688	66.073
LG1	14875638	1	13.688	66.179
LG1	14885461	1	13.688	66.286
LG1	14904664	1	13.688	66.714
LG1	14913213	1	13.688	66.714
LG1	14915100	1	13.688	67.250
LG1	14921100	1	13.688	67.357
LG1	15015487	1	13.688	67.678
LG1	15041017	1	13.688	67.999
LG1	15042385	1	13.688	67.999
LG1	15111053	1	13.688	68.106
LG1	15111063	1	13.688	68.319
LG1	15132642	1	13.795	68.319
LG1	15132663	1	13.795	68.319
LG1	15163021	1	13.795	68.319
LG1	15163026	1	13.795	68.319
LG1	15163029	1	13.795	68.319
LG1	15177405	1	13.795	68.319
LG1	15177427	1	13.795	68.319
LG1	15177428	1	13.795	68.319
LG1	15297111	1	13.795	68.747
LG1	15314658	1	13.795	68.961
LG1	15314696	1	13.795	69.068
LG1	15328196	1	13.795	69.389
LG1	15345764	1	13.795	69.495
LG1	15345780	1	13.795	69.709
LG1	15382083	1	13.795	69.816
LG1	15382090	1	13.795	69.816
LG1	15393394	1	13.795	69.816
LG1	15416108	1	13.795	69.923
LG1	15419378	1	13.795	70.029
LG1	15434451	1	13.795	70.029
LG1	15487367	1	13.902	70.781
LG1	15552047	1	14.009	70.781
LG1	15590796	1	14.009	71.209
LG1	15657553	1	14.009	71.530
LG1	15689225	1	14.009	71.637
LG1	15689243	1	14.009	71.637
LG1	15689244	1	14.009	71.637
LG1	15693340	1	14.009	71.637
LG1	15701733	1	14.009	71.744
LG1	15701734	1	14.009	71.851
LG1	15701771	1	14.009	71.851
LG1	15735107	1	14.009	71.957
LG1	15765301	1	14.115	72.064
LG1	15775067	1	14.115	72.278
LG1	15775115	1	14.115	72.384
LG1	15977838	1	14.222	72.598
LG1	15988310	1	14.222	72.705
LG1	16039911	1	14.222	73.133
LG1	16039912	1	14.222	73.133
LG1	16039957	1	14.222	73.133
LG1	16082294	1	14.436	73.133
LG1	16082321	1	14.436	73.133
LG1	16082339	1	14.436	73.240
LG1	16082925	1	14.436	73.453
LG1	16161477	1	14.436	73.774
LG1	16165861	1	14.436	73.774
LG1	16188393	1	14.436	73.774
LG1	16233116	1	14.543	73.774
LG1	16239164	1	14.543	74.095
LG1	16239169	1	14.543	74.095
LG1	16243813	1	14.543	74.095
LG1	16277473	1	14.543	74.739
LG1	16284214	1	14.543	74.953
LG1	16284222	1	14.543	74.953
LG1	16365590	1	14.543	74.953
LG1	16508744	1	14.649	74.953
LG1	16508756	1	14.756	75.166
LG1	16674897	1	14.756	75.273
LG1	16693381	1	14.863	75.273
LG1	16701701	1	14.969	75.380
LG1	16701738	1	14.969	75.380
LG1	16783507	1	15.076	75.486
LG1	16850124	1	15.076	76.130
LG1	16871778	1	15.076	76.130
LG1	16914613	1	15.076	76.237
